"","Ctrl2","Ctrl8","P18","P19","P20","P21","P22","P23"
"ZNF655",121.150843491571,72.2861394595239,92.2261624142393,111.59553112943,81.6744028943653,118.090056323762,67.0840413770448,168.004579786538
"MRPL21",54.4749182791887,51.995293295447,35.6217452711083,43.4635226504095,61.3795512660684,62.460856237362,68.98041003788,36.1350632501771
"UAP1L1",6.35827121870657,24.9408317433445,3.41578379311997,39.352108345641,16.3348805788731,1.30126783827837,0,7.97787110718196
"ZNF786",0,10.1454230820384,0,0,9.89992762355943,0,7.58547464334075,6.10072496431562
"ZNF517",1.0310710084389,5.91816346452242,0,11.159553112943,0,0.325316959569594,0.711138247813196,7.03929803574879
"ZNF675",22.1680266814364,20.2908461640769,48.7969113302854,4.11141430476846,17.324873341229,58.5570527225269,16.1191336170991,27.218619071562
"SLC22A5",17.5282071434613,35.9317067488861,0,0.587344900681209,24.7498190588986,14.3139462210621,16.1191336170991,15.4864556786473
"ADARB1",25.9486203790457,27.0544615521025,4.39172201972568,21.1444164245235,30.6897756330342,10.410142706227,0,17.8328883572303
"HTT",55.6778344557008,120.899625060958,23.422517438537,253.145652193601,76.7244390825855,46.5203252184519,51.2019538425501,156.74170292934
"OPALIN",0,4.64998557926762,11.2232896059656,7.63548370885572,11.3849167670933,1.62658479784797,42.4312487861873,0.938573071433172
"MAP3K5",148.302380047129,105.258764476149,90.7622550743308,34.0660042395101,72.2694716519838,66.0393427926275,38.1644192993082,112.159482036264
"GSTK1",108.434301054158,164.440399121373,137.607289951405,122.167739341691,153.943874546349,105.077377940979,143.175833893057,141.255247250692
"HNRNPAB",170.126716392419,139.499567378029,104.913359360114,120.993049540329,150.478899878103,146.717948765887,123.738055119496,129.053797322061
"STMN3",30.7602850850939,18.5999423170705,8.29547492614851,98.6739433144431,18.3148661035849,6.18102223182228,2.84455299125278,58.1915304288567
"GYPE",13.9194586139252,21.5590240493317,21.9586100986284,7.63548370885572,9.40493124238145,9.43419182751822,1.65932257823079,15.0171691429308
"SPN",195.903491603392,287.453653991089,62.4600465027653,209.682129543192,160.378827501663,116.788788485484,149.576078123375,206.955362251014
"ZNF628",0.687380672292602,12.2590528907965,0,9.39751841089934,4.45496743060174,0.325316959569594,0,0
"ZNF665",8.42041323558437,13.1045048142997,4.39172201972568,0.587344900681209,10.8899203859154,3.57848655526553,0,11.2628768571981
"RPF2",132.148934248253,108.21784620841,80.5149036949708,52.2736961606276,32.1747647765681,83.6064586093856,45.0387556948357,57.7222438931401
"MIB2",1.54660651265835,21.1362980875801,5.85562935963424,52.8610410613088,6.9299493364916,1.62658479784797,10.6670737171979,21.587180642963
"MYO5A",94.5148424402328,64.6770721479951,113.696803399565,44.6382124517719,91.0793341367467,93.3659673964734,29.156668160341,94.7958802147504
"CARINH",13.9194586139252,30.0135432843637,5.36766024633139,85.7523554994565,80.1894137508313,42.9418386631864,36.0310045558686,53.0293785359742
"ATG7",11.3417810928279,10.1454230820384,35.1337761578055,25.255830729292,25.7398118212545,14.9645801402013,18.0155022779343,19.7100345000966
"SIPA1L1",16.4971361350224,10.9908750055416,46.8450348770739,62.8459043728893,9.89992762355943,13.0126783827837,1.89636866083519,5.63143842859903
"IFT70A",9.62332941209643,5.49543750277082,0,0,0.494996381177971,6.18102223182228,0,10.3243037857649
