gene_symbol,logFC,logCPM,F,PValue,FDR
TAFA2,-2.2629014097114792,5.615368526450029,10.35143959598665,0.0047106831427084096,0.3518647051832745
BEST3,6.269673204957343,3.272597445488402,10.377538963749654,0.004741507453985672,0.3518647051832745
WWC2,-6.143607219800435,1.4297965464514593,11.217193116349028,0.004826511908145892,0.3557689952158814
BEX1,-3.1496971416624575,4.032057755196794,9.802522692789275,0.004968412499731351,0.36206663414851425
PDZRN4,-4.854560268798037,1.6623982628833842,10.581647304370584,0.0050611998828188004,0.36206663414851425
SLC25A27,-3.995198618723664,2.8470492263767864,9.389166024309949,0.0051020576873529585,0.36206663414851425
INTU,-2.3531874196000415,4.213550641382495,9.944108979681989,0.005150570052365104,0.36206663414851425
KRT1,10.727753347384292,5.7857279760259015,10.245137632505967,0.005161125111475464,0.36206663414851425
CTDSPL,-2.3990427962040157,5.762842318405857,10.080082727344235,0.005175955385544186,0.36206663414851425
EXOC6B,-2.874308410372054,2.998467816818898,9.350521298799384,0.005253127690236638,0.36206663414851425
RNF130,-1.3925985805424497,8.071637936130411,10.021273374304268,0.005269490015928965,0.36206663414851425
FYB1,1.84890208214383,7.9269416821044105,10.020418016469076,0.0052706036656377415,0.36206663414851425
CYGB,4.137034969649971,4.114247732600816,9.809739829800197,0.0053027200087283274,0.36206663414851425
CACHD1,-3.649895269626039,1.9826282391431966,9.530835078717692,0.00530354545731652,0.36206663414851425
TNFRSF14,4.71199145955616,4.1889798122199595,9.804934893519288,0.005391265280952821,0.36206663414851425
KLF9,-2.1117155656300595,5.016484598967677,9.929276524308124,0.005413253518190841,0.36206663414851425
CARD11,3.244946480709399,6.4574336415115665,9.922398655876883,0.005448478781020318,0.36206663414851425
PIK3R5,2.761160173243585,6.227269391582416,9.92269992529295,0.0054565210298864525,0.36206663414851425
FGD2,3.102645865282129,5.509469986281672,9.896463156328986,0.0054616512158074055,0.36206663414851425
SPATC1L,7.692549339373328,2.852278920807255,9.88721499959935,0.005506100187753007,0.36206663414851425
SPTBN2,-3.2358260091839544,3.0456083717863813,9.14381120352058,0.005554811927350523,0.36206663414851425
EPB42,4.728140393407376,7.090271260857438,9.800046563428518,0.0056359682407348495,0.36206663414851425
MYCN,-3.0654674485742928,4.408055299579952,9.591505444478189,0.005679971155590441,0.36206663414851425
CNRIP1,-2.42860598670082,6.158788840494301,9.809866726898857,0.00569631654536576,0.36206663414851425
SERPINE2,-1.5633663500033679,6.464657618865825,9.79033061320934,0.0057291811824507505,0.36206663414851425
RASD1,2.257538858771767,6.357928600714188,9.777952812231154,0.005747813995907619,0.36206663414851425
LGALS1,1.5878992498025777,8.35737147445254,9.76647777309351,0.005760480800555303,0.36206663414851425
ENO2,-3.204821260305539,3.254468386558461,9.109120815493156,0.005769405409142576,0.36206663414851425
ITGAL,2.709595610173167,6.528475665026254,9.753857043198487,0.005793021972917262,0.36206663414851425
TCIRG1,3.245560355468915,6.867151619189851,9.747106801357013,0.0058020329245323235,0.36206663414851425
TTC24,3.9804349267806347,4.9996958172817685,9.587168118488695,0.005868615589000973,0.36340949557772667
RAG2,4.468407454284417,5.178200702461888,9.538018591990385,0.005915737721010519,0.36340949557772667
ABTB3,-2.8478986707484517,3.484340791096827,9.24476947778982,0.0059228170543943436,0.36340949557772667
IGHM,2.5425958415292893,8.817584815220846,9.617365959515245,0.006072372215032562,0.36890626906244345
